Order #,Sent Date,Menu Item,Menu Subgroup(s),Menu Group,Menu,Sales Category,Gross Price,Discount,Net Price,Qty,Tax,Void?
20,4/2/26 7:22 PM,Chicken 65 Biryani,,Nonveg,Biryani,Biryani,16.99,0.00,15.29,1.0,1.53000000,false
20,4/2/26 7:22 PM,Garlic Naan,,Naan,Bread,Food,4.99,0.00,4.49,1.0,0.44000000,false
21,4/2/26 8:44 PM,Malai Tikka,Tikka,Tandoori,Appetizer,Appetizer,14.99,0.00,14.99,1.0,1.50000000,false
21,4/2/26 8:44 PM,Butter Chicken,,Non-Veg Curries,Entrée,Food,15.99,0.00,15.99,1.0,1.60000000,false
21,4/2/26 8:44 PM,Butter Chicken,,Non-Veg Curries,Entrée,Food,15.99,0.00,15.99,1.0,1.60000000,false
21,4/2/26 8:44 PM,Cheese Naan,,Naan,Bread,Food,5.99,0.00,5.99,1.0,0.60000000,false
21,4/2/26 9:24 PM,Coke,,Soda & Water,Beverage,NA Beverage,1.99,0.00,1.99,1.0,0.20000000,false
21,4/2/26 9:24 PM,Coke,,Soda & Water,Beverage,NA Beverage,1.99,0.00,1.99,1.0,0.20000000,false
21,4/2/26 9:24 PM,Dr pepper,,Soda & Water,Beverage,NA Beverage,1.99,0.00,1.99,1.0,0.20000000,false
1,4/3/26 11:25 AM,Salmon Tandoori,,Tandoori,Appetizer,Appetizer,33.99,0.00,30.59,1.0,3.07000000,false
2,4/3/26 11:33 AM,Mulligatawny Soup,,Soup,Soup & Salad,,5.99,0.00,5.99,1.0,0.60000000,false
2,4/3/26 11:33 AM,Cheese Naan,,Naan,Bread,Food,5.99,0.00,5.99,1.0,0.60000000,false
2,4/3/26 11:33 AM,Channa Masala,Vegan,Veg Curries,Entrée,Food,12.99,0.00,12.99,1.0,1.30000000,false
3,4/3/26 11:38 AM,Lamb Curry,,Non-Veg Curries,Entrée,Food,17.99,0.00,17.99,1.0,1.80000000,false
4,4/3/26 12:02 PM,Chicken 65,,65,Appetizer,Appetizer,12.99,0.00,12.99,1.0,1.30000000,false
4,4/3/26 12:02 PM,Rice,,,,,5.99,0.00,5.99,1.0,0E-8,false
5,4/3/26 12:02 PM,Chicken 65,,65,Appetizer,Appetizer,12.99,0.00,12.99,1.0,1.30000000,false
5,4/3/26 12:02 PM,Chole Bhature,,Chole Bhature,Appetizer,Appetizer,25.98,0.00,25.98,2.0,2.60000000,false
5,4/3/26 12:02 PM,Maysur Masala Dosa,,Dosa,Bread,Food,13.99,0.00,13.99,1.0,1.40000000,false
5,4/3/26 12:02 PM,Goat Biryani,,Nonveg,Biryani,Biryani,18.99,0.00,18.99,1.0,1.90000000,false
6,4/3/26 12:15 PM,Samosa,,Chaat,Appetizer,Appetizer,8.99,0.00,8.99,1.0,0.90000000,false
6,4/3/26 12:15 PM,Coconut Curry,,Coconut,Entrée,Food,15.99,0.00,15.99,1.0,1.60000000,false
6,4/3/26 12:15 PM,Chicken Tikka Masala,,Tikka Masala Curry,Entrée,Food,15.99,0.00,15.99,1.0,1.60000000,false
6,4/3/26 12:15 PM,Butter Naan,,Naan,Bread,Food,7.98,0.00,7.98,2.0,0.80000000,false
9,4/3/26 12:20 PM,Bottle Water,,Soda & Water,Beverage,NA Beverage,0.99,0.00,0.99,1.0,0.10000000,false
8,4/3/26 12:21 PM,Hakka Noodles,,Entrees,Indo-Chines,,14.99,0.00,14.99,1.0,1.50000000,false
8,4/3/26 12:21 PM,Veg Samosa,,Samosa,Appetizer,Appetizer,5.99,0.00,5.99,1.0,0.60000000,false
8,4/3/26 12:21 PM,Salmon Tandoori,,Tandoori,Appetizer,Appetizer,18.99,0.00,18.99,1.0,1.90000000,false
8,4/3/26 12:21 PM,Chole Bhature,,Chole Bhature,Appetizer,Appetizer,12.99,0.00,12.99,1.0,1.30000000,false
10,4/3/26 12:26 PM,Cheese Masala Dosa,,Dosa,Bread,Food,13.99,0.00,13.99,1.0,1.40000000,false
10,4/3/26 12:26 PM,Chicken Curry,,Non-Veg Curries,Entrée,Food,15.99,0.00,15.99,1.0,1.60000000,false
10,4/3/26 12:26 PM,Garlic Naan,,Naan,Bread,Food,9.98,0.00,9.98,2.0,1.00000000,false
5,4/3/26 12:30 PM,Butter Chicken,,Non-Veg Curries,Entrée,Food,15.99,0.00,15.99,1.0,1.60000000,false
5,4/3/26 12:30 PM,Butter Naan,,Naan,Bread,Food,7.98,0.00,7.98,2.0,0.80000000,false
11,4/3/26 12:35 PM,Half Chicken Tandoori,,Tandoori,Appetizer,Appetizer,12.99,0.00,12.99,1.0,1.30000000,false
11,4/3/26 12:35 PM,Aloo Tikki,,Chaat,Appetizer,Appetizer,17.98,0.00,17.98,2.0,1.80000000,false
11,4/3/26 12:35 PM,Butter Naan,,Naan,Bread,Food,3.99,0.00,3.99,1.0,0.40000000,false
12,4/3/26 12:40 PM,Aloo Gobi Matar,Vegan,Veg Curries,Entrée,Food,12.99,0.00,12.99,1.0,1.30000000,false
12,4/3/26 12:40 PM,Veg Samosa,,Samosa,Appetizer,Appetizer,5.99,0.00,5.99,1.0,0.60000000,false
14,4/3/26 12:43 PM,Kaju Curry,,Veg Curries,Entrée,Food,16.99,0.00,16.99,1.0,1.70000000,false
14,4/3/26 12:43 PM,Garlic Naan,,Naan,Bread,Food,9.98,0.00,9.98,2.0,1.00000000,false
8,4/3/26 12:54 PM,Hakka Noodles,,Entrees,Indo-Chines,,14.99,0.00,14.99,1.0,1.50000000,false
10,4/3/26 1:08 PM,Gulabjamun,,Hot,Desserts,,4.99,0.00,4.99,1.0,0.50000000,false
15,4/3/26 1:15 PM,Full Chicken Tandoori,,Tandoori,Appetizer,Appetizer,18.99,0.00,17.09,1.0,1.71000000,false
15,4/3/26 1:15 PM,Garlic Naan,,Naan,Bread,Food,4.99,0.00,4.49,1.0,0.44000000,false
15,4/3/26 1:15 PM,Mango Lassi,,Lassi & Tea,Beverage,NA Beverage,4.99,0.00,4.49,1.0,0.44000000,false
15,4/3/26 1:15 PM,Coke,,Soda & Water,Beverage,NA Beverage,1.99,0.00,1.79,1.0,0.19000000,false
15,4/3/26 1:15 PM,Sprite,,Soda & Water,Beverage,NA Beverage,1.99,0.00,1.79,1.0,0.19000000,false
11,4/3/26 1:50 PM,Coke,,Soda & Water,Beverage,NA Beverage,1.99,0.00,1.99,1.0,0.20000000,false
16,4/3/26 2:32 PM,Fish Tikka Masala,,Tikka Masala Curry,Entrée,Food,17.99,0.00,17.99,1.0,1.80000000,false
16,4/3/26 2:32 PM,Chicken Curry,,Non-Veg Curries,Entrée,Food,15.99,0.00,15.99,1.0,1.60000000,false
16,4/3/26 2:32 PM,Chicken Tikka Masala,,Tikka Masala Curry,Entrée,Food,15.99,0.00,15.99,1.0,1.60000000,false
16,4/3/26 2:32 PM,Garlic Naan,,Naan,Bread,Food,4.99,0.00,4.99,1.0,0.50000000,false
16,4/3/26 2:32 PM,Chicken Sheekh Kabab,,Sheekh Kabab,Appetizer,Appetizer,13.99,0.00,13.99,1.0,1.40000000,false
17,4/3/26 2:43 PM,Okra Masala,Vegan,Veg Curries,Entrée,Food,13.99,0.00,13.99,1.0,1.40000000,false
17,4/3/26 2:43 PM,Butter Chicken,,Non-Veg Curries,Entrée,Food,15.99,0.00,15.99,1.0,1.60000000,false
17,4/3/26 2:43 PM,Sweet Tea,,Lassi & Tea,Beverage,NA Beverage,5.98,0.00,5.98,2.0,0.60000000,false
17,4/3/26 2:46 PM,Mushroom Salt n Pepper,,Mushroom Salt n Pepper,Appetizer,Appetizer,10.99,0.00,10.99,1.0,1.10000000,false
